order_item_id,order_id,product_id,quantity,unit_price
1,1001,P001,2,9.99
2,1001,P002,3,2.99
3,1002,P003,1,4.50
4,1002,P004,5,1.20
5,1003,P005,1,12.75
6,1003,P006,2,8.40
7,1004,P007,1,14.99
8,1004,P008,1,22.50
9,1005,P009,2,15.00
10,1005,P010,1,39.99
11,1006,P011,4,6.49
12,1007,P012,1,25.00
13,1008,P013,1,64.00
14,1008,P014,2,19.95
15,1009,P015,1,85.00
16,1010,P016,1,29.99
17,1011,P017,2,13.25
18,1012,P018,1,35.00
19,1013,P019,1,18.00
20,1014,P020,3,11.50
21,1015,P001,1,9.99
22,1016,P002,6,2.99
23,1017,P005,2,12.75
24,1018,P007,2,14.99
25,1019,P009,1,15.00
26,1020,P012,1,25.00
