product_id,sku,product_name,category,price
P001,SKU-1001,Classic Mug,Kitchen,9.99
P002,SKU-1002,Travel Mug,Kitchen,14.99
P003,SKU-1003,Espresso Cup,Kitchen,7.50
P004,SKU-1004,Coffee Beans 1kg,Grocery,24.00
P005,SKU-1005,Green Tea Pack,Grocery,11.25
P006,SKU-1006,Black Tea Pack,Grocery,10.75
P007,SKU-1007,Electric Kettle,Appliances,39.99
P008,SKU-1008,French Press,Kitchen,29.99
P009,SKU-1009,Pour Over Set,Kitchen,34.50
P010,SKU-1010,Water Filter,Appliances,19.95
P011,SKU-1011,Glass Bottle,Kitchen,12.49
P012,SKU-1012,Thermal Flask,Outdoor,22.00
P013,SKU-1013,Protein Bar Box,Grocery,18.75
P014,SKU-1014,Energy Drink Pack,Grocery,21.40
P015,SKU-1015,Blender,Appliances,64.99
P016,SKU-1016,Mini Grinder,Appliances,27.80
P017,SKU-1017,Snack Mix,Grocery,8.60
P018,SKU-1018,Herbal Tea,Grocery,9.20
P019,SKU-1019,Ceramic Teapot,Kitchen,26.30
P020,SKU-1020,Cold Brew Kit,Kitchen,31.00
P021,SKU-1021,Reusable Straw Set,Kitchen,6.90
